muestra,phase_acc,idx_tabla,valor_seno_comparador
0,0,0,0
1,12884902,3,6
2,25769804,6,13
3,38654706,9,19
4,51539608,12,26
5,64424510,15,32
6,77309412,18,39
7,90194314,21,46
8,103079216,24,52
9,115964118,27,59
10,128849020,30,65
11,141733922,33,72
12,154618824,36,78
13,167503726,39,85
14,180388628,43,93
15,193273530,46,99
16,206158432,49,106
17,219043334,52,112
18,231928236,55,118
19,244813138,58,125
20,257698040,61,131
21,270582942,64,137
22,283467844,67,143
23,296352746,70,149
24,309237648,73,155
25,322122550,76,161
26,335007452,79,167
27,347892354,82,173
28,360777256,86,180
29,373662158,89,186
30,386547060,92,192
31,399431962,95,197
32,412316864,98,203
33,425201766,101,208
34,438086668,104,213
35,450971570,107,219
36,463856472,110,224
37,476741374,113,229
38,489626276,116,234
39,502511178,119,239
40,515396080,122,244
41,528280982,125,249
42,541165884,129,255
43,554050786,132,260
44,566935688,135,264
45,579820590,138,268
46,592705492,141,273
47,605590394,144,277
48,618475296,147,281
49,631360198,150,285
50,644245100,153,289
51,657130002,156,293
52,670014904,159,297
53,682899806,162,300
54,695784708,165,304
55,708669610,168,307
56,721554512,172,312
57,734439414,175,315
58,747324316,178,318
59,760209218,181,321
60,773094120,184,324
61,785979022,187,327
62,798863924,190,329
63,811748826,193,332
64,824633728,196,334
65,837518630,199,337
66,850403532,202,339
67,863288434,205,341
68,876173336,208,343
69,889058238,211,345
70,901943140,215,347
71,914828042,218,349
72,927712944,221,350
73,940597846,224,352
74,953482748,227,353
75,966367650,230,354
76,979252552,233,355
77,992137454,236,356
78,1005022356,239,357
79,1017907258,242,357
80,1030792160,245,358
81,1043677062,248,358
82,1056561964,251,358
83,1069446866,254,358
84,1082331768,258,358
85,1095216670,261,358
86,1108101572,264,358
87,1120986474,267,358
88,1133871376,270,357
89,1146756278,273,357
90,1159641180,276,356
91,1172526082,279,355
92,1185410984,282,354
93,1198295886,285,353
94,1211180788,288,352
95,1224065690,291,350
96,1236950592,294,349
97,1249835494,297,347
98,1262720396,301,345
99,1275605298,304,343
100,1288490200,307,341
101,1301375102,310,339
102,1314260004,313,337
103,1327144906,316,334
104,1340029808,319,332
105,1352914710,322,329
106,1365799612,325,327
107,1378684514,328,324
108,1391569416,331,321
109,1404454318,334,318
110,1417339220,337,315
111,1430224122,340,312
112,1443109024,344,307
113,1455993926,347,304
114,1468878828,350,300
115,1481763730,353,297
116,1494648632,356,293
117,1507533534,359,289
118,1520418436,362,285
119,1533303338,365,281
120,1546188240,368,277
121,1559073142,371,273
122,1571958044,374,268
123,1584842946,377,264
124,1597727848,380,260
125,1610612750,384,253
126,1623497652,387,249
127,1636382554,390,244
128,1649267456,393,239
129,1662152358,396,234
130,1675037260,399,229
131,1687922162,402,224
132,1700807064,405,219
133,1713691966,408,213
